Executando livelo_scraper.py...
Saída de livelo_scraper.py:
Iniciando Chrome para ambiente GitHub Actions...
Configurações do Chrome:
  Headless: Sim
  User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) ...
  Window size: 1920x1080
Iniciando novo processo do Chrome...
Chrome iniciado com sucesso. Sessão ID: 04b713e30845a21a3dca447f6084e755
Navegando para o site da Livelo...
Tentativa 1/5: Acessando URL...
Aguardando carregamento básico da página...
Aguardando 10 segundos para carregamento completo...
Verificando elementos principais...
Tentando XPath: /html/body/div[4]/main/div[1]/div[37]/div/div/div[2]/section/div[2]/div[3]/div[1]
✓ Encontrados 1 elementos com XPath: /html/body/div[4]/main/div[1]/div[37]/div/div/div[2]/section/div[2]/div[3]/div[1]
Rolando a página para carregar todos os elementos...
Altura da página: 33588px
Rolando para posição: 400px
Rolando para posição: 800px
Rolando para posição: 1200px
Rolando para posição: 1600px
Rolando para posição: 2000px
Rolando para posição: 2400px
Rolando para posição: 2800px
Rolando para posição: 3200px
Rolando para posição: 3600px
Rolando para posição: 4000px
Rolando até o final da página
Rolando de volta para o topo
Verificando elementos após rolagem...
✓ Encontrados 1 elementos com XPath: /html/body/div[4]/main/div[1]/div[37]/div/div/div[2]/section/div[2]/div[3]/div[1] após rolagem
Página carregada com sucesso!
Iniciando extração de dados...
Iniciando extração de dados por XPath...
Extraído 1: ABC da Construcao | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 2: Abelha Rainha | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 3: ADCOS | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 4: Aguativa Resort | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 5: Aliexpress | Não | U$ | Valor: 1.0 | Pontos: 3
Extraído 6: Allianz | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 7: Allugator | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 8: Amazon | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 9: AMOBELEZA | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 10: Angeloni | Sim | R$ | Valor: 1.0 | Pontos: 3
Extraído 11: Aramis | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 12: Asics | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 13: Assist Card Seguros | Não | R$ | Valor: 1.0 | Pontos: 10
Extraído 14: Atalaia Noronha | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 15: avis | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 16: Avon | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 17: Azul Viagens | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 18: Bagaggio | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 19: Baianao | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 20: Basicamente | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 21: Basico.com | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 22: Beach Park Hospedagens | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 23: Beach Park Ingressos | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 24: Beep | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 25: Beleza na web | Sim | R$ | Valor: 1.0 | Pontos: 7
Extraído 26: Beleza na Web PRO | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 27: Beto Carrero World | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 28: Beyoung | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 29: Bibi | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 30: BO.BO | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 31: Bobstore | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 32: Bombay Herbs & Spices | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 33: Bonjour Lingerie | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 34: Booking.com | Não | U$ | Valor: 1.0 | Pontos: 4
Extraído 35: Bradesco Capitalizacao | Não | R$ | Valor: 1.0 | Pontos: 2
